"ParentID","CurveName","Ordinal","vA","vB","vC","vD","vE"
64828,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
64845,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
64845,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
64845,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
64845,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
64862,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
64862,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
64862,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
64862,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
64879,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
64879,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
64879,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
64879,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
65041,"Definite Time",50,0.10,0.00,0.00,0.00,0.00
65041,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
65041,"IAC Extremely Inverse",60,4.0e-03,0.63,0.62,1.78,0.24
65041,"IAC Inverse",80,0.20,0.86,0.80,-0.41,0.19
65041,"IAC Short Inverse",90,0.04,0.06,0.62,-1.0e-03,0.02
65041,"IAC Very Inverse",70,0.09,0.79,0.10,-1.28,7.95
65041,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
65041,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
65041,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
65050,"Definite Time",50,0.10,0.00,0.00,0.00,0.00
65050,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
65050,"IAC Extremely Inverse",60,4.0e-03,0.63,0.62,1.78,0.24
65050,"IAC Inverse",80,0.20,0.86,0.80,-0.41,0.19
65050,"IAC Short Inverse",90,0.04,0.06,0.62,-1.0e-03,0.02
65050,"IAC Very Inverse",70,0.09,0.79,0.10,-1.28,7.95
65050,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
65050,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
65050,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
65088,"Definite Time",50,0.10,0.00,0.00,0.00,0.00
65088,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
65088,"IAC Extremely Inverse",60,4.0e-03,0.63,0.62,1.78,0.24
65088,"IAC Inverse",80,0.20,0.86,0.80,-0.41,0.19
65088,"IAC Short Inverse",90,0.04,0.06,0.62,-1.0e-03,0.02
65088,"IAC Very Inverse",70,0.09,0.79,0.10,-1.28,7.95
65088,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
65088,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
