"ID","Mfr_ID","Type","Note","MultFunction","DCOffsetFilter","RelayClass","RelayConstr"
570,1,"IRV 11","ABB Automation Inc.
Instruction Leaflet
41-133.3J
Type IRV Directional
Overcurrent Relay
for Phase Protection

Effective: September 2000
Supersedes I.L. 41-133.3H, dated May 1997
( | ) Denotes Changes since previous issue
",0,0,0,1
564,1,"IRV 2","ABB Automation Inc.
Instruction Leaflet
41-133.3J
Type IRV Directional
Overcurrent Relay
for Phase Protection

Effective: September 2000
Supersedes I.L. 41-133.3H, dated May 1997
( | ) Denotes Changes since previous issue
",0,0,0,1
565,1,"IRV 5","ABB Automation Inc.
Instruction Leaflet
41-133.3J
Type IRV Directional
Overcurrent Relay
for Phase Protection

Effective: September 2000
Supersedes I.L. 41-133.3H, dated May 1997
( | ) Denotes Changes since previous issue
",0,0,0,1
566,1,"IRV 6","ABB Automation Inc.
Instruction Leaflet
41-133.3J
Type IRV Directional
Overcurrent Relay
for Phase Protection

Effective: September 2000
Supersedes I.L. 41-133.3H, dated May 1997
( | ) Denotes Changes since previous issue
",0,0,0,1
567,1,"IRV 7","ABB Automation Inc.
Instruction Leaflet
41-133.3J
Type IRV Directional
Overcurrent Relay
for Phase Protection

Effective: September 2000
Supersedes I.L. 41-133.3H, dated May 1997
( | ) Denotes Changes since previous issue
",0,0,0,1
568,1,"IRV 8","ABB Automation Inc.
Instruction Leaflet
41-133.3J
Type IRV Directional
Overcurrent Relay
for Phase Protection

Effective: September 2000
Supersedes I.L. 41-133.3H, dated May 1997
( | ) Denotes Changes since previous issue
",0,0,0,1
569,1,"IRV 9","ABB Automation Inc.
Instruction Leaflet
41-133.3J
Type IRV Directional
Overcurrent Relay
for Phase Protection

Effective: September 2000
Supersedes I.L. 41-133.3H, dated May 1997
( | ) Denotes Changes since previous issue
",0,0,0,1
770,1,"Is Limiter","ABB Power IT Is-Limiter
Leaflet No. DECMS 2243 00E

Note : Pickup settings are in Peak value and Plots are in RMS value.",0,0,0,2
369,1,"KAB","ABB Type KAB Relay
KAB High Impedance Bus Differential Relay

Instruction Leaflet 41-337.4H
NOTE: Only the response time has been modeled in this library ",0,0,0,1
590,1,"KC-4","Source : Instruction Leaflet 41-776.1L
August 1985
Superceded I. L. 41-776.1K, Dated September 1980",1,0,0,2
170,1,"MCO","Microprocessor Overcurrent Relay (MCO) 
Time-Current Curves

Source: ABB T&D Company Inc.
Technical Data 41-025
May 1991
TCC#     Rev  Date                Curve
605878  0      Oct   1992   MCO/MMCO-8 Inverse
605877  0      Oct   1992   MCO/MMCO-9 Very Inverse
605876  0      Oct   1992   MCO/MMCO-11 Extremely Inverse
605879  0      Oct   1992   MCO/MMCO-2 Short Time Inverse
605880  0      Oct   1992   MCO/MMCO-7 Moderately Inverse
605881  0      Oct   1992   MCO/MMCO-6 Defnite Time
605882  0      Oct   1992   MCO/MMCO-5 Long Time Inverse
605874  0      Oct   1989   IMPRS Definite Time  ",1,1,0,0
171,1,"MICRO-51","MICRO-51 Time-Overcurrent Relay
Time-Current Curves

Source: ABB T&D Company Inc.
Technical Data 41-025
May 1991
TCC#     Rev  Date                Curve
605854  0      Oct    1991  MICRO-51 Inverse
605851  2      July   1989   MICRO-51 Very Inverse
605850  2      July   1989   MICRO-51 Extremely Inverse
605855  0      Oct    1991  MICRO-51 Short Time Inverse
605874  0      Oct   1989   MICRO-51 Definite Time 
 ",1,1,0,0
519,1,"Microshield","ABB Microshield O/C

Instruction Booklet
IMRA474126-MIB
Issue D June 2000 (IB–7.2.1.7–16)",1,1,0,0
172,1,"MMCO","Microprocessor Multiphase Overcurretn Relay (MMCO)
Time-Current Curves

Source: ABB T&D Company Inc.
Technical Data 41-025
May 1991
TCC#     Rev  Date                Curve
605878  0      Oct   1992   MCO/MMCO-8 Inverse
605877  0      Oct   1992   MCO/MMCO-9 Very Inverse
605876  0      Oct   1992   MCO/MMCO-11 Extremely Inverse
605879  0      Oct   1992   MCO/MMCO-2 Short Time Inverse
605880  0      Oct   1992   MCO/MMCO-7 Moderately Inverse
605881  0      Oct   1992   MCO/MMCO-6 Defnite Time
605882  0      Oct   1992   MCO/MMCO-5 Long Time Inverse
605874  0      Oct   1989   IMPRS Definite Time  ",1,1,0,0
326,1,"MSOC","ABB Microshield O/C

Instruction Booklet
IMRA474126-MIB
Issue D June 2000 (IB–7.2.1.7–16)",1,1,0,0
317,1,"MTR","",0,1,0,0
533,1,"PCD","ABB Inc.
Instruction Book
IB38-737-5
Issue F

IB38-737-5 April 12, 2004

Note _ P to P stands for Point to Point Recloser Curves
",1,1,0,0
1227,1,"PR512","PR512 Medium Voltage Products",1,1,0,0
712,1,"PR521","PR521
Microprocessor based Protection Unit

Source : ITNIE647008/002 - it-en - 2000.05 - Rev.A - 2003.08.29",1,1,0,0
480,1,"RACID","",1,1,0,0
809,1,"RACIF","RACIF

Source :
1MRK 507 003-BEN
Issued February 1997",1,0,0,0
