device_class,canonical_mfr,family,models_covered,doc_type,doc_number,title,normalized_relpath,provenance_type,source_url,retrieved,source_origin,original_name,not_in_workbook,dup_of,notes
Breakers,ABB,SACE Emax,SACE Emax,catalog,1SDC200009D0202.pdf,1SDC200009D0202,Breakers/ABB/SACE Emax/1SDC200009D0202.pdf,local,,,staging,1SDC200009D0202.pdf,,,
Breakers,ABB,Tmax XT,Tmax XT,catalog,1SDC210015D0208.pdf,1SDC210015D0208,Breakers/ABB/Tmax XT/1SDC210015D0208.pdf,local,,,staging,1SDC210015D0208.pdf,,,
_quarantine,Unknown,Unclassified,,tool,,1SDC210015D0208,_quarantine/staging/1SDC210015D0208.txt,local,,,staging,1SDC210015D0208.txt,,,non-PDF or invalid PDF
Breakers,ABB,Tmax XT,Tmax XT,instruction-manual,1SDC210200D0206,1SDC210200D0206 Tmax XT UL 08 2024,Breakers/ABB/Tmax XT/1SDC210200D0206 - Tmax XT_UL_08_2024.pdf,local,,,staging,1SDC210200D0206 - Tmax XT_UL_08_2024.pdf,,,
Trip Units,General Electric,Series C,Series C,curve-book,1SQC930006D0201,1SQC930006D0201 DES100 11 2022,Trip Units/General Electric/Series C/1SQC930006D0201 DES100 11_2022.pdf,local,,,staging,1SQC930006D0201 DES100 11_2022.pdf,,,
Trip Units,General Electric,EntelliGuard,EntelliGuard,curve-book,1SQC930007D0201,1SQC930007D0201 DES123 11 2022,Trip Units/General Electric/EntelliGuard/1SQC930007D0201 DES123 11_2022.pdf,local,,,staging,1SQC930007D0201 DES123 11_2022.pdf,,,
Trip Units,General Electric,EntelliGuard,EntelliGuard,instruction-manual,1SQC930010M0201,1SQC930010M0201 DEH41318 11 2022,Trip Units/General Electric/EntelliGuard/1SQC930010M0201 DEH41318 11_2022.pdf,local,,,staging,1SQC930010M0201 DEH41318 11_2022.pdf,,,
Breakers,Westinghouse,Unclassified,Unclassified,catalog,CA08105001E,261877922 Tb 01200002 e,Breakers/Westinghouse/Unclassified/261877922-Tb-01200002-e.pdf,local,,,staging,261877922-Tb-01200002-e.pdf,,,
Breakers,Schneider Electric,M-Pact,M-Pact,selectivity-table,designed,292313380 M Pact MPro Air CircuitBreakers,Breakers/Schneider Electric/M-Pact/292313380-M-Pact-MPro-Air-CircuitBreakers.pdf,local,,,staging,292313380-M-Pact-MPro-Air-CircuitBreakers.pdf,,,
Breakers,Mitsubishi,Unclassified,Unclassified,catalog,Catalogue,386385977 PSS Technical Catalogue Y 0551 A 09 99,Breakers/Mitsubishi/Unclassified/386385977-PSS-Technical-Catalogue-Y-0551-A-09-99.pdf,local,,,staging,386385977-PSS-Technical-Catalogue-Y-0551-A-09-99.pdf,,,
